"n_elements","run","iterations","ns_per_op","ms_per_op"
1000,1,1502,939038,0.939
1000,2,1534,902077,0.902
1000,3,1449,907466,0.907
1000,4,1496,860764,0.861
1000,5,1404,992254,0.992
1000,6,1387,939104,0.939
1000,7,1540,937439,0.937
1000,8,1464,992866,0.993
1000,9,1531,915057,0.915
1000,10,1534,922179,0.922
10000,1,12,101415739,101.416
10000,2,14,91974579,91.975
10000,3,14,93571432,93.571
10000,4,13,99464062,99.464
10000,5,12,91778806,91.779
10000,6,12,91359086,91.359
10000,7,12,91374364,91.374
10000,8,14,86139789,86.140
10000,9,14,93050469,93.051
10000,10,14,83768166,83.768
100000,1,1,17897039832,17897.040
100000,2,1,17533743149,17533.743
100000,3,1,17557012758,17557.013
100000,4,1,17178313312,17178.313
100000,5,1,19440392449,19440.392
100000,6,1,19379472110,19379.472
100000,7,1,19337040239,19337.040
100000,8,1,16806367822,16806.368
100000,9,1,17086491552,17086.492
100000,10,1,17314315289,17314.315

