"algorithm","n_elements","run","iterations","ns_per_op","ms_per_op"
bubblesort,1000,1,1502,939038,0.939
bubblesort,1000,2,1534,902077,0.902
bubblesort,1000,3,1449,907466,0.907
bubblesort,1000,4,1496,860764,0.861
bubblesort,1000,5,1404,992254,0.992
bubblesort,1000,6,1387,939104,0.939
bubblesort,1000,7,1540,937439,0.937
bubblesort,1000,8,1464,992866,0.993
bubblesort,1000,9,1531,915057,0.915
bubblesort,1000,10,1534,922179,0.922
bubblesort,10000,1,12,101415739,101.416
bubblesort,10000,2,14,91974579,91.975
bubblesort,10000,3,14,93571432,93.571
bubblesort,10000,4,13,99464062,99.464
bubblesort,10000,5,12,91778806,91.779
bubblesort,10000,6,12,91359086,91.359
bubblesort,10000,7,12,91374364,91.374
bubblesort,10000,8,14,86139789,86.140
bubblesort,10000,9,14,93050469,93.051
bubblesort,10000,10,14,83768166,83.768
bubblesort,100000,1,1,17897039832,17897.040
bubblesort,100000,2,1,17533743149,17533.743
bubblesort,100000,3,1,17557012758,17557.013
bubblesort,100000,4,1,17178313312,17178.313
bubblesort,100000,5,1,19440392449,19440.392
bubblesort,100000,6,1,19379472110,19379.472
bubblesort,100000,7,1,19337040239,19337.040
bubblesort,100000,8,1,16806367822,16806.368
bubblesort,100000,9,1,17086491552,17086.492
bubblesort,100000,10,1,17314315289,17314.315
mergesort,1000,1,9776,124742,0.125
mergesort,1000,2,8718,122925,0.123
mergesort,1000,3,8240,123678,0.124
mergesort,1000,4,8701,126056,0.126
mergesort,1000,5,8833,121798,0.122
mergesort,1000,6,8859,119967,0.120
mergesort,1000,7,8778,123634,0.124
mergesort,1000,8,8882,121237,0.121
mergesort,1000,9,9146,119496,0.119
mergesort,1000,10,8656,123583,0.124
mergesort,10000,1,792,1458655,1.459
mergesort,10000,2,798,1574765,1.575
mergesort,10000,3,826,1484047,1.484
mergesort,10000,4,766,1466711,1.467
mergesort,10000,5,802,1545372,1.545
mergesort,10000,6,768,1499540,1.500
mergesort,10000,7,814,1489944,1.490
mergesort,10000,8,772,1480548,1.481
mergesort,10000,9,828,1492665,1.493
mergesort,10000,10,792,1505707,1.506
mergesort,100000,1,52,19805158,19.805
mergesort,100000,2,56,19237038,19.237
mergesort,100000,3,56,19316541,19.317
mergesort,100000,4,58,19238547,19.239
mergesort,100000,5,58,19500437,19.500
mergesort,100000,6,54,20135396,20.135
mergesort,100000,7,62,19617382,19.617
mergesort,100000,8,55,19342334,19.342
mergesort,100000,9,60,19384596,19.385
mergesort,100000,10,61,19187749,19.188
quicksort,1000,1,15330,79333,0.079
quicksort,1000,2,15561,78729,0.079
quicksort,1000,3,16417,76548,0.077
quicksort,1000,4,15152,81487,0.081
quicksort,1000,5,15468,78990,0.079
quicksort,1000,6,16838,74588,0.075
quicksort,1000,7,17066,74675,0.075
quicksort,1000,8,15916,76962,0.077
quicksort,1000,9,16095,76835,0.077
quicksort,1000,10,17253,75213,0.075
quicksort,10000,1,1453,826960,0.827
quicksort,10000,2,1468,839074,0.839
quicksort,10000,3,1375,839279,0.839
quicksort,10000,4,1478,843916,0.844
quicksort,10000,5,1446,869906,0.870
quicksort,10000,6,1274,825120,0.825
quicksort,10000,7,1414,855236,0.855
quicksort,10000,8,1431,851895,0.852
quicksort,10000,9,1458,814673,0.815
quicksort,10000,10,1480,861085,0.861
quicksort,100000,1,121,9779827,9.780
quicksort,100000,2,123,10310212,10.310
quicksort,100000,3,122,9676098,9.676
quicksort,100000,4,122,9830500,9.831
quicksort,100000,5,126,9795456,9.795
quicksort,100000,6,120,9696800,9.697
quicksort,100000,7,123,9886453,9.886
quicksort,100000,8,100,10025982,10.026
quicksort,100000,9,122,10066697,10.067
quicksort,100000,10,122,10011205,10.011
