"algorithm","n_elements","run","iterations","ns_per_op","ms_per_op"
mergesort,1000,1,9776,124742,0.125
mergesort,1000,2,8718,122925,0.123
mergesort,1000,3,8240,123678,0.124
mergesort,1000,4,8701,126056,0.126
mergesort,1000,5,8833,121798,0.122
mergesort,1000,6,8859,119967,0.120
mergesort,1000,7,8778,123634,0.124
mergesort,1000,8,8882,121237,0.121
mergesort,1000,9,9146,119496,0.119
mergesort,1000,10,8656,123583,0.124
mergesort,10000,1,792,1458655,1.459
mergesort,10000,2,798,1574765,1.575
mergesort,10000,3,826,1484047,1.484
mergesort,10000,4,766,1466711,1.467
mergesort,10000,5,802,1545372,1.545
mergesort,10000,6,768,1499540,1.500
mergesort,10000,7,814,1489944,1.490
mergesort,10000,8,772,1480548,1.481
mergesort,10000,9,828,1492665,1.493
mergesort,10000,10,792,1505707,1.506
mergesort,100000,1,52,19805158,19.805
mergesort,100000,2,56,19237038,19.237
mergesort,100000,3,56,19316541,19.317
mergesort,100000,4,58,19238547,19.239
mergesort,100000,5,58,19500437,19.500
mergesort,100000,6,54,20135396,20.135
mergesort,100000,7,62,19617382,19.617
mergesort,100000,8,55,19342334,19.342
mergesort,100000,9,60,19384596,19.385
mergesort,100000,10,61,19187749,19.188

